,r2,PearsonR,SpearmanR,R2,RMSE,MAE,Dataset,Model,group
0,0.8853885409643257,0.940950870643269,0.8893116828279207,0.08343611549784191,0.9848659784566886,0.9102202813347168,random_100,optimus,25-44
1,0.876612351383923,0.9362757881008796,0.8724831261207815,-0.5666442768022089,1.2875999857307878,1.2186349057518022,random_100,framepool,25-44
2,0.9047054618138651,0.9511600610905951,0.898131026456355,0.9013788464664747,0.3230582256955578,0.23672513818740845,random_100,lm,25-44
3,0.8429505842489883,0.9181234036059571,0.8238995647838536,-0.5109797283599415,1.013852279741749,0.9529555938526498,human_100,optimus,25-44
4,0.8309589512849643,0.9115694988781513,0.8173508463377115,-1.424787184224329,1.2843464130522322,1.2286853691278756,human_100,framepool,25-44
5,0.8560611211177794,0.9252357111124595,0.8400968256542792,0.8559947241293382,0.312992955425046,0.23478479880094527,human_100,lm,25-44
6,0.8769306893389489,0.9364457749058133,0.901660243915061,0.39164045643728895,1.059746513553635,0.9539583185656649,random_100,optimus,45-64
7,0.8844914348881678,0.9404740479610101,0.8949349412337353,0.12865828967648552,1.2682827501507454,1.185933948765161,random_100,framepool,45-64
8,0.9170287645468783,0.9576161885363461,0.9178829714707429,0.9120332557030613,0.4029777739827063,0.2982758279442787,random_100,lm,45-64
9,0.8085998912581732,0.8992218253902499,0.8444775971193993,-0.07830516067351989,1.1293948511290766,1.0279568814061244,human_100,optimus,45-64
10,0.8358974976789264,0.9142743011147839,0.8485860366465091,-0.4612621727027708,1.3147374461079264,1.2350897385673925,human_100,framepool,45-64
11,0.8600723604918911,0.9274008628914956,0.8633279457294825,0.859743609695796,0.40732052129248164,0.29487324315309527,human_100,lm,45-64
12,0.8307711641728763,0.9114664909764245,0.9059750009937503,0.45884506195374164,1.133033902201651,0.9817832638714854,random_100,optimus,65-84
13,0.8299989914239085,0.91104280438622,0.8976466119116531,0.2493215469377872,1.3344707750347302,1.2011521414679711,random_100,framepool,65-84
14,0.8991870108407715,0.9482547183329866,0.9282561625640404,0.8957477546996732,0.4973072605939554,0.37626204192638396,random_100,lm,65-84
15,0.7809423190925183,0.8837094087382567,0.8354654256796561,0.20212722021552887,1.182863942182077,1.0424071305532348,human_100,optimus,65-84
16,0.8122518726926329,0.9012501720902095,0.848279364887946,-0.0202133658698036,1.3375606176990515,1.2215871291021554,human_100,framepool,65-84
17,0.8472487564870279,0.9204611651161756,0.8616809764933745,0.8469614241980166,0.518046122285094,0.3990937828421593,human_100,lm,65-84
18,0.7770667982589936,0.8815139240301282,0.8847240731344036,0.4454550478611683,1.203930975000127,1.0129149359018919,random_100,optimus,85-100
19,0.7790039723585369,0.8826120168899452,0.876122779735461,0.3039529716480992,1.3488153565980396,1.1778833584103219,random_100,framepool,85-100
20,0.8466172271007931,0.9201180506330657,0.9110000689289821,0.8442169037970639,0.6381068036005387,0.4904208341985941,random_100,lm,85-100
21,0.7289574442233544,0.853790046922166,0.8207189374053849,0.28962101276300145,1.2616326823406767,1.0689771390451406,human_100,optimus,85-100
22,0.7539814890621925,0.8683210748693093,0.8261425199775468,0.17216619865806526,1.3619446405268425,1.1900362225677465,human_100,framepool,85-100
23,0.7781042984005834,0.8821022040560745,0.832654069396121,0.7766864802426604,0.7073679605781105,0.5451399548351765,human_100,lm,85-100
